Figures In Rs Crore,Dec-21,Sep-21,Jun-21,Mar-21,Dec-20,Sep-20,Jun-20,Mar-20,Dec-19,Sep-19,Jun-19,Mar-19,Dec-18,Sep-18,Jun-18,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,Dec-16,Sep-16,Jun-16
Revenue,69678.12,69481.49,65564.43,65101.64,66734.5,66814.11,66500.38,62681.4,67691.99,64312.39,62637.81,62985.38,62276.61,58793.48,58813.18,55941.28,54802.89,54849.72,54905.42,47392.57,43925.59,42481.55,41718.52
Other Income,8673.42,8207.6,11802.74,16225.32,9246.15,8527.69,9497.21,16077.45,9105.92,12022.69,8015.42,12685.12,8035.23,9375.05,6679.49,12494.78,8084.17,16016.08,8005.66,10327.5,9661.92,8261.44,7210.08
Total Income,78351.54,77689.09,77367.17,81326.96,75980.65,75341.8,75997.59,78758.85,76797.91,76335.08,70653.23,75670.5,70311.84,68168.53,65492.67,68436.06,62887.06,70865.8,62911.08,57720.07,53587.51,50742.99,48928.6
Expenditure,20839.18,28730.81,20466.35,23592.17,20732.93,20249.43,18077.69,20379.27,18662.15,18424.25,17708.05,18705.86,18101.27,16375.89,16504.72,16585.88,15017.12,14602.84,13737.61,12371.76,11870.2,11637.28,10593.53
Operating Profit,69983.84,61536.08,69439.11,71117.57,68365.73,67662.52,69784.96,70418.25,69591.38,69213.42,63863.27,67442.63,63382.5,61489.01,58696.37,61104.35,56366.73,63966.2,56897.95,51590.56,48854.6,45958.9,44591.62
Interest,38990.72,38297.59,37926,38034.64,37914.56,38632.61,39858.82,39914.46,39913.2,39712.07,39699.02,40031.55,39585.62,37887.79,37014.82,35967,36115.37,36263.82,37299.41,29321.85,29174.05,27881.39,27281.21
PBDT,3115.79,2845.37,2418.86,2198.37,1794.55,1767.29,1370.44,1389.23,5386.3,2048.1,1751.02,-407.2,2663.92,867.81,-2379.28,-4494.72,-4705.27,-719.84,939.05,1471.55,990.43,789.28,1119.8
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBT,11547.67,10471.94,8922.86,8649.12,6990.77,6341.45,5559.78,4970.04,10969.66,5059.83,4063.22,431.2,6618.73,1812.68,-7255.13,-12212.89,-7121.64,861.71,2944.58,4286.37,3600.43,3327.6,3640.76
Tax,3115.79,2845.37,2418.86,2198.37,1794.55,1767.29,1370.44,1389.23,5386.3,2048.1,1751.02,-407.2,2663.92,867.81,-2379.28,-4494.72,-4705.27,-719.84,939.05,1471.55,990.43,789.28,1119.8
Net Profit,8431.88,7626.57,6504,6450.75,5196.22,4574.16,4189.34,3580.81,5583.36,3011.73,2312.2,838.4,3954.81,944.87,-4875.85,-7718.17,-2416.37,1581.55,2005.53,2814.82,2610,2538.32,2520.96
EPS (Rs),9.45,8.55,7.29,7.23,5.82,5.13,4.69,4.01,6.26,3.37,2.59,0.94,4.43,1.06,-5.46,-8.92,-2.8,1.83,2.44,3.55,3.36,3.27,3.25
